epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2098.09,2.12312,1.53443,2.48461,0.51042,0.79545,0.63569,0.24032,2.17051,1.45327,2.60154,0.0011882,0.0011882,0.0011882
43,2146,2.16184,1.55898,2.5451,0.50882,0.76136,0.63475,0.28349,2.0315,1.38384,2.55145,0.0011684,0.0011684,0.0011684
44,2193.42,2.13934,1.54629,2.45991,0.54421,0.75,0.68601,0.30663,1.89886,1.42857,2.43804,0.0011486,0.0011486,0.0011486
45,2240.52,2.07034,1.51894,2.41695,0.49584,0.71527,0.52028,0.2459,1.91872,1.56219,2.46982,0.0011288,0.0011288,0.0011288
46,2287.55,2.06974,1.53373,2.45724,0.48438,0.84091,0.6839,0.33155,1.88722,1.35013,2.44175,0.001109,0.001109,0.001109
47,2334.94,2.09655,1.5036,2.45959,0.52874,0.70455,0.63565,0.31117,1.86625,1.39212,2.41885,0.0010892,0.0010892,0.0010892
48,2382.58,2.11857,1.55385,2.52318,0.45011,0.625,0.5547,0.23681,1.96798,1.77233,2.54816,0.0010694,0.0010694,0.0010694
49,2431.27,2.08356,1.52005,2.43934,0.36852,0.80682,0.52032,0.24696,1.82307,1.67878,2.45975,0.0010496,0.0010496,0.0010496
50,2478.64,2.10008,1.60189,2.50655,0.5647,0.70455,0.6974,0.35108,1.75836,1.45642,2.36821,0.0010298,0.0010298,0.0010298
51,2525.99,2.10792,1.54703,2.48117,0.51025,0.71591,0.60991,0.32195,1.86826,1.39037,2.46606,0.00101,0.00101,0.00101
52,2573.31,1.99808,1.48172,2.40161,0.61795,0.79545,0.70935,0.33693,1.80798,1.2978,2.36277,0.0009902,0.0009902,0.0009902
53,2620.79,2.01602,1.44123,2.37633,0.65855,0.72328,0.75002,0.33597,1.86688,1.28262,2.43145,0.0009704,0.0009704,0.0009704
54,2667.64,2.00886,1.4082,2.37386,0.62427,0.78409,0.73872,0.31623,1.85106,1.32623,2.41271,0.0009506,0.0009506,0.0009506
55,2715.08,2.07192,1.48082,2.39971,0.6012,0.7024,0.71926,0.34589,1.83689,1.37394,2.40811,0.0009308,0.0009308,0.0009308
56,2762.68,1.95893,1.47422,2.31256,0.56442,0.73864,0.66213,0.33969,1.77284,1.31399,2.3529,0.000911,0.000911,0.000911
57,2810.48,1.96159,1.46528,2.33481,0.59371,0.73864,0.70331,0.34904,1.89667,1.31918,2.44203,0.0008912,0.0008912,0.0008912
58,2858.21,1.99449,1.49873,2.34179,0.59151,0.77273,0.68344,0.341,1.81607,1.44073,2.42049,0.0008714,0.0008714,0.0008714
59,2905.74,2.02154,1.55786,2.44806,0.63001,0.82955,0.80405,0.41236,1.7248,1.30168,2.32856,0.0008516,0.0008516,0.0008516
60,2953.73,1.93795,1.3672,2.25552,0.67836,0.77273,0.7865,0.40479,1.73554,1.29783,2.34909,0.0008318,0.0008318,0.0008318
61,3001.82,1.87619,1.38067,2.26393,0.64757,0.75,0.79214,0.41895,1.64595,1.2767,2.26169,0.000812,0.000812,0.000812
62,3049.91,1.83191,1.37092,2.20914,0.58697,0.80682,0.7365,0.41347,1.62777,1.28509,2.25614,0.0007922,0.0007922,0.0007922
63,3097.49,1.85104,1.40784,2.26517,0.56077,0.75445,0.72106,0.41674,1.66436,1.30985,2.32521,0.0007724,0.0007724,0.0007724
64,3144.99,1.87738,1.38579,2.26083,0.66749,0.78409,0.77333,0.45427,1.64346,1.25373,2.26451,0.0007526,0.0007526,0.0007526
65,3192.25,1.85663,1.37396,2.23837,0.66483,0.77273,0.78249,0.44542,1.69943,1.2455,2.28924,0.0007328,0.0007328,0.0007328
66,3239.53,1.91317,1.34674,2.29353,0.72337,0.77273,0.81898,0.48279,1.67329,1.30051,2.29097,0.000713,0.000713,0.000713
67,3287.79,1.91607,1.31604,2.23846,0.77326,0.67045,0.8473,0.46869,1.70411,1.24641,2.30668,0.0006932,0.0006932,0.0006932
68,3336.21,1.87771,1.33322,2.24596,0.7424,0.81876,0.83532,0.44944,1.82657,1.26746,2.35062,0.0006734,0.0006734,0.0006734
69,3384,1.88706,1.29542,2.21688,0.74307,0.72727,0.81819,0.43257,1.77911,1.27117,2.31497,0.0006536,0.0006536,0.0006536
70,3431.73,1.87353,1.31576,2.25249,0.80896,0.70455,0.82805,0.42768,1.80997,1.22339,2.3545,0.0006338,0.0006338,0.0006338
71,3479.67,1.85533,1.33019,2.21934,0.83331,0.73849,0.86418,0.48211,1.70155,1.21735,2.24623,0.000614,0.000614,0.000614
72,3527.39,1.92838,1.3746,2.28977,0.82309,0.68734,0.83387,0.48112,1.67452,1.24848,2.26353,0.0005942,0.0005942,0.0005942
73,3575.93,1.82542,1.30034,2.19918,0.85251,0.75,0.84977,0.48366,1.71636,1.22232,2.27916,0.0005744,0.0005744,0.0005744
74,3624,1.81135,1.28779,2.23306,0.8262,0.75633,0.88426,0.50484,1.62431,1.22523,2.22462,0.0005546,0.0005546,0.0005546
75,3671.64,1.75809,1.31753,2.18101,0.86102,0.70403,0.85146,0.46785,1.60951,1.21618,2.2158,0.0005348,0.0005348,0.0005348
76,3719.93,1.80323,1.28395,2.16605,0.87568,0.67045,0.86234,0.47353,1.69628,1.24804,2.28405,0.000515,0.000515,0.000515
77,3768.22,1.75434,1.27673,2.18668,0.90877,0.79239,0.90796,0.50489,1.70021,1.1645,2.30477,0.0004952,0.0004952,0.0004952
78,3816.64,1.78153,1.28718,2.17947,0.82316,0.76136,0.85821,0.49237,1.62647,1.10015,2.25844,0.0004754,0.0004754,0.0004754
79,3865.14,1.8314,1.35031,2.19092,0.82684,0.80682,0.86626,0.50444,1.58662,1.12658,2.19694,0.0004556,0.0004556,0.0004556
80,3913.68,1.76603,1.25766,2.14643,0.84194,0.7869,0.88466,0.53332,1.54957,1.12338,2.16435,0.0004358,0.0004358,0.0004358
81,3961.08,1.76814,1.30261,2.16545,0.79736,0.82955,0.89348,0.51069,1.59528,1.1694,2.19302,0.000416,0.000416,0.000416
82,4009.71,1.75291,1.30717,2.17718,0.82544,0.82955,0.8985,0.5107,1.63952,1.20319,2.24263,0.0003962,0.0003962,0.0003962
83,4057.94,1.76467,1.30721,2.1812,0.81281,0.86364,0.90524,0.54065,1.55382,1.1719,2.19138,0.0003764,0.0003764,0.0003764
84,4109.07,1.74929,1.25135,2.11935,0.8698,0.83512,0.91768,0.54804,1.54022,1.15653,2.13128,0.0003566,0.0003566,0.0003566
85,4157.06,1.74093,1.21636,2.04613,0.7953,0.88636,0.89608,0.50613,1.59514,1.16737,2.14641,0.0003368,0.0003368,0.0003368
86,4204.37,1.81451,1.26848,2.16947,0.81399,0.84543,0.91254,0.53673,1.60048,1.15253,2.1526,0.000317,0.000317,0.000317
87,4251.88,1.73234,1.19578,2.09995,0.92167,0.81818,0.91867,0.56476,1.5555,1.13504,2.12502,0.0002972,0.0002972,0.0002972
88,4301.05,1.70305,1.23503,2.05821,0.88204,0.84091,0.90746,0.54631,1.53885,1.13841,2.1274,0.0002774,0.0002774,0.0002774
89,4349.42,1.67142,1.23242,2.08452,0.83365,0.84091,0.91008,0.54594,1.5228,1.12532,2.13227,0.0002576,0.0002576,0.0002576
90,4397.3,1.76071,1.32089,2.15307,0.90438,0.85985,0.92069,0.54973,1.51838,1.10463,2.14545,0.0002378,0.0002378,0.0002378
91,4445.93,1.57519,1.23401,2.10687,0.89567,0.85227,0.90791,0.56685,1.50588,1.09682,2.13262,0.000218,0.000218,0.000218
92,4492.45,1.53943,1.19032,2.01525,0.86271,0.85689,0.91712,0.55569,1.55509,1.11503,2.14877,0.0001982,0.0001982,0.0001982
93,4540.35,1.59724,1.22318,2.12523,0.83609,0.86952,0.91522,0.5495,1.57291,1.10367,2.15615,0.0001784,0.0001784,0.0001784
94,4588.51,1.50697,1.15411,2.01549,0.88542,0.87816,0.93078,0.56876,1.5304,1.08922,2.1332,0.0001586,0.0001586,0.0001586
95,4636.61,1.56602,1.1772,2.08152,0.87981,0.88636,0.93235,0.58276,1.49226,1.07673,2.10669,0.0001388,0.0001388,0.0001388
96,4684.38,1.54908,1.14388,2.03986,0.88021,0.875,0.92051,0.59101,1.47709,1.04402,2.09397,0.000119,0.000119,0.000119
97,4732.43,1.49978,1.11659,2.01422,0.87576,0.88114,0.91959,0.58376,1.47698,1.03032,2.09262,9.92e-05,9.92e-05,9.92e-05
98,4780.96,1.51591,1.13359,2.03094,0.89403,0.88636,0.91967,0.58138,1.49182,1.02852,2.10369,7.94e-05,7.94e-05,7.94e-05
99,4828.85,1.54308,1.1388,2.03554,0.89274,0.89773,0.92357,0.58085,1.49422,1.02453,2.11125,5.96e-05,5.96e-05,5.96e-05
100,4879.14,1.54568,1.11564,2.02405,0.87749,0.89773,0.92177,0.58075,1.48269,1.02593,2.10578,3.98e-05,3.98e-05,3.98e-05
